Model,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.7348969438521677,0.5012406947890818,0.5401069518716578,0.5199485199485199
Random Forest,0.7889125799573561,0.6410256410256411,0.4679144385026738,0.5409582689335395
Gradient Boosting,0.7931769722814499,0.6426116838487973,0.5,0.562406015037594
