Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.7882018479033405,0.6225806451612903,0.516042780748663,0.5643274853801169
Support Vector Machine,0.7860696517412935,0.6336996336996337,0.4625668449197861,0.5347758887171561
Neural Network,0.7484008528784648,0.525,0.5614973262032086,0.5426356589147288
