Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.7882018479033405,0.6225806451612903,0.516042780748663,0.5643274853801169
Support Vector Machine,0.7860696517412935,0.6336996336996337,0.4625668449197861,0.5347758887171561
Neural Network,0.7569296375266524,0.5457142857142857,0.5106951871657754,0.5276243093922651
