Model,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.720682302771855,0.4755784061696658,0.4946524064171123,0.4849279161205767
Random Forest,0.7910447761194029,0.6470588235294118,0.47058823529411764,0.544891640866873
Gradient Boosting,0.7967306325515281,0.6560283687943262,0.4946524064171123,0.5640243902439025
