Model,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.7263681592039801,0.4860050890585242,0.5106951871657754,0.4980443285528032
Random Forest,0.7874911158493249,0.6344086021505376,0.4732620320855615,0.5421133231240428
Gradient Boosting,0.7953091684434968,0.6524822695035462,0.4919786096256685,0.5609756097560976
