Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.7860696517412935,0.622895622895623,0.4946524064171123,0.5514157973174367
Support Vector Machine,0.7945984363894811,0.6653696498054474,0.4572192513368984,0.5419968304278923
Neural Network,0.7626154939587776,0.562111801242236,0.4839572192513369,0.5201149425287356
